VT_ID;VT_code;VT_name;GRP;GRP_name
1;1a/1b;Moss snowbed / Sedge and grass snowbed;1;Snow-bed vegetation
2;1c;Frozen ground, leeward;1;Snow-bed vegetation
3;2a;Frozen ground, ridge;2;Alpine heath communities
4;2b;Dry grass heath;2;Alpine heath communities
5;2c;Lichen heath;2;Alpine heath communities
6;2d;Mountain avens heath;2;Alpine heath communities
7;2ef;Dwarf shrub / Alpine calluna heath;2;Alpine heath communities
8;2g;Alpine damp heath;2;Alpine heath communities
9;3a/3b;Low herb / forb meadow;3;Alpine meadow communities
10;4a;Lichen and heather birch forest;4;Boreal deciduous forest
11;4b;Bilberry birch forest;4;Boreal deciduous forest
12;4c;Meadow birch forest;4;Boreal deciduous forest
13;4e;Alder forest;4;Boreal deciduous forest
14;4g;Pasture land forest;4;Boreal deciduous forest
15;5a/5b;Poor / Rich broadleaf deciduous forest;5;Broad-leafed deciduous forest
16;6a;Lichen and heather pine forest;6;Pine forest
17;6b;Bilberry pine forest;6;Pine forest
18;7a;Lichen & heather spruce forest;7;Spruce forest
19;7b;Bilberry spruce forest;7;Spruce forest
20;7c;Meadow spruce forest;7;Spruce forest
21;8a;Damp forest;8;Peatland forest
22;8b;Bog forest;8;Peatland forest
23;8c/8d;Poor / rich swamp forest;8;Peatland forest
24;9a/9d;Bog / Mud-bottom fen and bog;9;Wetlands
25;9b/9c;Deer-grass fen / fen;9;Wetlands
26;9e;Sedge marsh;9;Wetlands
27;10a/10b;Coastal heath / Coastal calluna heath;10;Non-forested dry land below the treeline
28;10c;Damp heath;10;Non-forested dry land below the treeline
29;11b;Pastures;11;Farm land
30;12b;Boulder field;12;Non-productive areas
31;12c;Exposed bedrock;12;Non-productive areas
